CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 1.558594 1721046110.9079
MEM 15.203125 1721046111.0124
MEM 25.542969 1721046111.1132
MEM 33.394531 1721046111.2138
MEM 37.195312 1721046111.3142
MEM 41.992188 1721046111.4146
MEM 43.359375 1721046111.5152
MEM 48.691406 1721046111.6157
MEM 57.253906 1721046111.7161
MEM 63.621094 1721046111.8166
MEM 68.957031 1721046111.9172
MEM 69.839844 1721046112.0177
MEM 77.753906 1721046112.1183
MEM 102.648438 1721046112.2186
MEM 117.730469 1721046112.3197
MEM 125.027344 1721046112.4204
MEM 132.714844 1721046112.5211
MEM 137.722656 1721046112.6217
MEM 142.601562 1721046112.7223
MEM 151.718750 1721046112.8233
MEM 153.851562 1721046112.9237
MEM 159.070312 1721046113.0242
MEM 163.246094 1721046113.1246
MEM 170.304688 1721046113.2255
MEM 176.308594 1721046113.3266
MEM 182.496094 1721046113.4274
MEM 190.863281 1721046113.5280
MEM 194.515625 1721046113.6291
MEM 200.550781 1721046113.7300
MEM 206.437500 1721046113.8308
MEM 213.347656 1721046113.9312
MEM 221.542969 1721046114.0317
MEM 226.132812 1721046114.1324
MEM 230.566406 1721046114.2331
MEM 245.195312 1721046114.3338
MEM 249.660156 1721046114.4349
MEM 252.660156 1721046114.5356
MEM 253.921875 1721046114.6363
MEM 255.433594 1721046114.7367
MEM 257.277344 1721046114.8371
MEM 259.128906 1721046114.9377
MEM 262.843750 1721046115.0381
MEM 263.160156 1721046115.1390
MEM 263.523438 1721046115.2401
MEM 263.753906 1721046115.3408
MEM 264.000000 1721046115.4415
MEM 264.839844 1721046115.5426
MEM 264.960938 1721046115.6429
MEM 265.535156 1721046115.7434
MEM 266.250000 1721046115.8438
MEM 266.269531 1721046115.9442
MEM 266.375000 1721046116.0446
MEM 266.574219 1721046116.1453
MEM 266.574219 1721046116.2461
MEM 266.574219 1721046116.3465
MEM 266.574219 1721046116.4469
MEM 266.574219 1721046116.5472
MEM 267.238281 1721046116.6476
MEM 273.789062 1721046116.7484
MEM 283.675781 1721046116.8495
MEM 289.460938 1721046116.9501
MEM 294.859375 1721046117.0506
MEM 298.429688 1721046117.1510
MEM 303.917969 1721046117.2519
MEM 307.597656 1721046117.3522
MEM 315.785156 1721046117.4531
MEM 322.871094 1721046117.5534
MEM 327.484375 1721046117.6544
MEM 328.187500 1721046117.7551
MEM 333.582031 1721046117.8556
MEM 388.074219 1721046117.9566
MEM 399.742188 1721046118.0575
MEM 406.925781 1721046118.1582
MEM 409.582031 1721046118.2592
MEM 409.812500 1721046118.3595
MEM 410.000000 1721046118.4605
MEM 410.023438 1721046118.5616
MEM 410.109375 1721046118.6625
MEM 410.148438 1721046118.7634
MEM 410.175781 1721046118.8641
MEM 410.191406 1721046118.9646
MEM 410.191406 1721046119.0652
MEM 410.191406 1721046119.1661
MEM 410.191406 1721046119.2666
MEM 410.191406 1721046119.3674
MEM 410.191406 1721046119.4682
MEM 410.425781 1721046119.5689
MEM 410.429688 1721046119.6697
MEM 410.445312 1721046119.7706
MEM 410.453125 1721046119.8713
MEM 410.464844 1721046119.9720
MEM 410.464844 1721046120.0726
MEM 410.464844 1721046120.1733
MEM 410.464844 1721046120.2743
MEM 410.464844 1721046120.3752
MEM 412.285156 1721046120.4755
MEM 416.644531 1721046120.5761
MEM 421.546875 1721046120.6771
MEM 426.804688 1721046120.7774
MEM 426.804688 1721046120.8781
MEM 430.421875 1721046120.9785
MEM 436.265625 1721046121.0790
MEM 443.046875 1721046121.1796
MEM 447.394531 1721046121.2806
MEM 451.925781 1721046121.3812
MEM 453.687500 1721046121.4819
MEM 461.746094 1721046121.5823
MEM 465.539062 1721046121.6828
MEM 471.773438 1721046121.7833
MEM 473.429688 1721046121.8839
MEM 474.128906 1721046121.9846
MEM 475.402344 1721046122.0852
MEM 477.527344 1721046122.1857
MEM 478.460938 1721046122.2864
MEM 479.707031 1721046122.3875
MEM 480.171875 1721046122.4884
MEM 483.296875 1721046122.5895
MEM 483.902344 1721046122.6903
MEM 484.878906 1721046122.7908
MEM 488.679688 1721046122.8913
MEM 496.468750 1721046122.9918
MEM 497.898438 1721046123.0923
MEM 502.718750 1721046123.1930
MEM 506.925781 1721046123.2937
MEM 507.238281 1721046123.3939
MEM 507.652344 1721046123.4946
MEM 507.738281 1721046123.5953
MEM 507.789062 1721046123.6954
MEM 507.847656 1721046123.7961
MEM 507.890625 1721046123.8964
MEM 507.937500 1721046123.9970
MEM 508.078125 1721046124.0977
MEM 508.105469 1721046124.1983
MEM 508.121094 1721046124.2990
MEM 508.148438 1721046124.3997
MEM 508.273438 1721046124.5003
MEM 508.292969 1721046124.6005
MEM 508.304688 1721046124.7011
MEM 508.328125 1721046124.8018
MEM 508.347656 1721046124.9025
MEM 508.367188 1721046125.0031
MEM 508.500000 1721046125.1038
MEM 508.546875 1721046125.2046
MEM 508.562500 1721046125.3052
MEM 508.578125 1721046125.4054
MEM 508.593750 1721046125.5060
MEM 508.609375 1721046125.6061
MEM 508.625000 1721046125.7067
MEM 508.675781 1721046125.8074
MEM 508.699219 1721046125.9079
MEM 508.714844 1721046126.0084
MEM 508.734375 1721046126.1091
MEM 508.753906 1721046126.2097
MEM 508.765625 1721046126.3103
MEM 508.781250 1721046126.4110
MEM 508.792969 1721046126.5115
MEM 508.804688 1721046126.6120
MEM 508.812500 1721046126.7128
MEM 508.820312 1721046126.8134
MEM 508.832031 1721046126.9140
MEM 508.839844 1721046127.0146
MEM 508.847656 1721046127.1151
MEM 508.859375 1721046127.2158
MEM 508.867188 1721046127.3163
MEM 508.929688 1721046127.4165
MEM 508.929688 1721046127.5170
MEM 508.929688 1721046127.6176
MEM 508.929688 1721046127.7182
MEM 508.980469 1721046127.8188
MEM 508.980469 1721046127.9193
MEM 508.984375 1721046128.0200
MEM 509.046875 1721046128.1205
MEM 509.046875 1721046128.2207
MEM 509.046875 1721046128.3212
MEM 509.046875 1721046128.4217
MEM 509.046875 1721046128.5224
MEM 509.046875 1721046128.6230
MEM 509.046875 1721046128.7236
MEM 509.046875 1721046128.8242
MEM 509.027344 1721046128.9250
MEM 510.648438 1721046129.0256
MEM 512.656250 1721046129.1261
MEM 513.886719 1721046129.2265
MEM 515.781250 1721046129.3275
MEM 520.539062 1721046129.4282
MEM 521.863281 1721046129.5287
MEM 522.007812 1721046129.6294
MEM 522.031250 1721046129.7301
MEM 522.062500 1721046129.8308
MEM 522.085938 1721046129.9313
MEM 522.171875 1721046130.0317
